炉号,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C_Yield,Mn_Yield,S_Yield,P_Yield
7A06815             ,HRB400B    ,1672,0.0007599999999999999,0.0008,0.00029,0.00018,0.003,72000,0.0024,0.0131,0.00031,0.00021,0.0036,0.47,0.0018,0.005,0.011000000000000001,0.031,0.004,0.0018,0.0025,0,0,9,0,29,25,0,0,200,0,0,54,0,1270,132,0,1.013389129238868,0.9073026801081877,4.6006389776357866,0.8109934669970715
7A06814             ,HRB400B    ,1647,0.00042,0.0009,0.00025,0.00018999999999999998,0.003,72900,0.0023,0.0133,0.00033999999999999997,0.00023999999999999998,0.0036,0.465,0.0023,0.006,0.012,0.033,0.0051,0.0028,0.0027,0,0,10,0,30,50,0,0,200,0,0,95,0,1330,88,0,0.953717041397883,0.8897944720056696,20.451995012468817,1.3149350649350648
7A06813             ,HRB400B    ,1659,0.0008,0.0012,0.00023999999999999998,0.00026000000000000003,0.003,73150,0.0024,0.0135,0.00028,0.00029,0.0036,0.478,0.0023,0.006,0.011000000000000001,0.033,0.0046,0.0023,0.0026,0,0,10,0,32,25,0,0,200,0,0,75,0,1300,88,0,0.943877057271337,0.9033584337349397,9.282994923857874,0.8070388349514556
7A06812             ,HRB400B    ,1672,0.00059,0.0011,0.00025,0.00025,0.003,74000,0.0023,0.0138,0.00027,0.00029,0.0036,0.474,0.0025,0.006,0.013000000000000001,0.034,0.0041,0.0019,0.0036,0,0,10,0,32,50,0,0,200,0,0,90,0,1370,88,0,0.906517123101214,0.9015041055943519,4.495747266099637,1.0403486573878817
7A06811             ,HRB400B    ,1657,0.0005200000000000001,0.0009,0.00022999999999999998,0.00018,0.003,75650,0.0024,0.0134,0.00028,0.00022999999999999998,0.0039,0.475,0.0021,0.005,0.012,0.033,0.0047,0.0025,0.0029,0,0,10,0,33,50,0,0,200,0,0,93,0,1340,88,0,1.0018293589213472,0.9247623611328432,11.696042053184907,1.3548606633713014
7A06810             ,HRB400B    ,1687,0.00119,0.0014,0.00026000000000000003,0.00021,0.003,68300,0.0023,0.0132,0.00023999999999999998,0.00025,0.0035,0.462,0.002,0.006,0.01,0.033,0.0052,0.0029,0.0028,0,0,10,0,30,0,0,0,200,0,0,40,0,1300,88,20,0.7988148702380186,0.8091767068273091,-4.339263024142324,1.0051508462104488
7A06809             ,HRB400B    ,1664,0.0010400000000000001,0.0014,0.00022,0.00021,0.003,72800,0.0022,0.0132,0.00025,0.00026000000000000003,0.0035,0.45299999999999996,0.0022,0.006,0.012,0.035,0.0047,0.0025,0.003,0,0,10,0,30,0,0,0,200,0,0,51,0,1270,88,20,0.8045973472875169,0.8800917957544463,7.07253886010362,1.3663663663663668
7A06808             ,HRB400B    ,1669,0.0006900000000000001,0.0014,0.00023999999999999998,0.00026000000000000003,0.003,72000,0.0023,0.0134,0.00027,0.0003,0.0034,0.467,0.0024,0.006,0.012,0.036000000000000004,0.0038,0.0016,0.0031,0,0,10,0,31,25,0,0,200,0,0,80,0,1260,88,0,0.9048043142118748,0.8912361775870606,7.035830618892522,1.0881886193606876
7A06807             ,HRB400B    ,1669,0.0007099999999999999,0.0013,0.00033,0.00027,0.003,72150,0.0022,0.0133,0.00027,0.0003,0.0034,0.455,0.0025,0.006999999999999999,0.011000000000000001,0.034,0.0046,0.0023,0.0028,0,0,10,0,30,25,0,0,200,0,0,80,0,1300,88,0,0.8346998672288092,0.8692771084337348,-13.751588310038123,0.79635761589404
7A06805             ,HRB400B    ,1675,0.0006,0.0011,0.00027,0.00021,0.003,71050,0.0023,0.0135,0.00027,0.00025,0.0035,0.467,0.0021,0.005,0.011000000000000001,0.033,0.0048,0.0025,0.0025,10,0,0,0,31,25,0,0,200,0,0,85,0,1300,88,0,0.9041057336254575,0.8845582329317269,0.0,1.0453910100787165
7A06804             ,HRB400B    ,1663,0.001,0.0016,0.00028,0.0002,0.004,71500,0.0022,0.0133,0.00032,0.00021,0.0035,0.455,0.0024,0.009000000000000001,0.012,0.034,0.0051,0.0028,0.0028,0,0,10,0,31,0,0,0,200,0,0,51,0,1300,88,20,0.8135018848861427,0.8399096385542169,9.07936507936509,0.26300301625836825
7A06802             ,HRB400B    ,1657,0.0006900000000000001,0.0008,0.00032,0.00011999999999999999,0.003,77900,0.0022,0.0134,0.00031,0.0002,0.0035,0.456,0.0018,0.006999999999999999,0.011000000000000001,0.035,0.0051,0.0028,0.0023,0,0,11,0,33,25,0,0,200,0,0,75,0,1330,88,0,0.9447179114031307,0.9661587526576896,-2.423771001866833,2.2467373278534866
7A06801             ,HRB400B    ,1651,0.00078,0.0014,0.00036,0.00033999999999999997,0.003,67050,0.0024,0.0139,0.00026000000000000003,0.00016999999999999999,0.0038,0.484,0.0019,0.005,0.011000000000000001,0.034,0.0049,0.0027,0.0026,0,0,10,0,30,25,0,0,200,0,0,68,0,1310,88,0,0.9248827090588623,0.8359181760153194,-21.164772727272723,-4.166118421052631
7A06800             ,HRB400B    ,1624,0.00053,0.0009,0.00031,0.00018,0.003,74050,0.0023,0.013000000000000001,0.00028,0.00018,0.0033,0.45799999999999996,0.0017,0.005,0.011000000000000001,0.033,0.0051,0.0029,0.0018,0,0,10,0,32,50,0,0,200,0,0,102,0,1320,88,0,0.8722826955021723,0.8877665266328473,-6.959586466165422,0.0
7A06799             ,HRB400B    ,1669,0.0014,0.001,0.00022999999999999998,0.00026000000000000003,0.003,73100,0.0023,0.0137,0.00026000000000000003,0.00028,0.0037,0.47100000000000003,0.0021,0.01,0.012,0.035,0.0068,0.0042,0.0016,0,0,10,0,32,0,0,0,300,0,0,34,1278,0,88,20,0.7271296813149339,0.8860250889489516,6.629383313180185,0.5112603161281285
7A06798             ,HRB400B    ,1673,0.00063,0.0011,0.00023999999999999998,0.00025,0.002,73850,0.0023,0.013000000000000001,0.00029,0.00029,0.0034,0.45799999999999996,0.0019,0.005,0.011000000000000001,0.033,0.0053,0.0033,0.0,0,0,10,0,33,25,0,0,300,0,0,85,0,1200,88,0,0.9231091081515811,0.8823443775100401,11.707355738744448,1.0861092727406416
7A06797             ,HRB400B    ,1682,0.0009699999999999999,0.0007,0.00026000000000000003,0.00016999999999999999,0.002,75150,0.0023,0.0131,0.00027,0.00027,0.0034,0.46,0.0018,0.006,0.012,0.033,0.0062,0.0039,0.0017,0,0,11,0,33,0,0,0,300,0,0,51,0,1270,88,20,0.9370311349776811,0.8938876525209116,2.2814207650273226,2.6407337128399755
7A06796             ,HRB400B    ,1672,0.0007099999999999999,0.0012,0.00021,0.00018,0.002,75900,0.0023,0.0131,0.00028,0.00022,0.0036,0.46,0.0017,0.006999999999999999,0.011000000000000001,0.034,0.0065,0.004,0.0005,0,0,12,0,33,25,0,0,300,0,0,85,1285,0,88,0,0.8936202352805276,0.8582056934362053,15.983754512635377,1.0568086883876358
7A06795             ,HRB400B    ,1679,0.00061,0.0011,0.00033,0.00029,0.002,74000,0.0024,0.0133,0.00032,0.00029,0.0035,0.474,0.0023,0.009000000000000001,0.009000000000000001,0.034,0.0064,0.004,0.001,0,0,10,0,32,25,0,0,300,0,0,85,1215,0,88,0,0.9895841893642485,0.8974511909022227,-2.325581395348821,0.0
7A06794             ,HRB400B    ,1682,0.00067,0.001,0.00037999999999999997,0.00013000000000000002,0.002,70450,0.0023,0.0129,0.00033999999999999997,0.0002,0.0035,0.457,0.0019,0.009000000000000001,0.009000000000000001,0.034,0.0064,0.004,0.0002,0,0,10,0,30,25,0,0,300,0,0,51,1124,0,88,0,1.1522410973199144,0.8866452467172058,-9.405874499332436,1.9105454827212143
