ID,x,y,z,stats
187,15810,2307,8,1
188,16032,3061,35,4
189,15801,3966,115,3
190,15087,3512,69,5
191,16872,2798,10,4
192,17734,3629,14,4
193,16823,4207,67,5
194,17008,4775,82,3
195,17203,6218,40,1
196,17005,7212,33,4
197,16947,7487,41,2
198,16301,8299,24,1
199,17904,8287,25,1
200,18303,7385,39,5
201,18438,6539,22,4
202,18556,5588,15,5
203,18954,4874,4,4
204,18012,4414,20,4
205,19072,8519,36,4
206,20282,8590,57,4
207,21475,8540,85,3
208,21450,7555,58,4
209,20261,7586,29,3
210,19569,7348,70,3
211,19411,6934,28,3
212,19501,6091,9,4
213,20582,6548,13,5
214,19909,5300,3,4
215,21018,5764,9,4
216,22176,5492,25,4
217,23359,5325,28,3
218,23238,6502,169,3
219,22624,4818,27,3
220,21703,6591,65,3
221,5006,8846,6,2
222,5734,9659,3,4
223,6395,10443,4,2
224,7405,10981,6,2
225,8446,11200,4,2
226,7612,11938,2,2
227,7912,12840,1,4
228,8866,13143,3,2
229,9296,13102,9,4
230,9475,12000,9,2
231,9212,11305,5,2
232,8629,12086,1,2
233,7776,10613,9,2
234,8622,10638,4,4
235,9237,9872,28,4
236,8307,9726,14,4
237,7106,9467,44,2
238,6423,8831,40,2
239,7458,8920,36,2
240,8904,8868,24,4
241,10547,9591,32,4
242,10398,10360,0,4
243,10395,11203,8,1
244,11529,11243,16,4
245,11563,10298,12,4
246,11646,9381,14,2
247,12641,9560,11,2
248,14000,8970,14,2
249,14207,9980,14,2
250,14065,10987,25,4
251,12734,10344,32,3
252,12727,7691,32,4
253,14173,11941,14,5
254,15467,12080,23,1
255,15140,11101,30,2
256,15198,10100,28,4
257,15248,9106,16,4
258,16428,9069,20,1
259,16289,10072,43,1
260,16267,11058,60,4
261,16440,12068,47,4
262,16440,13232,24,2
263,15412,12982,21,4
264,14269,12877,27,4
265,13277,13204,19,4
266,13175,12238,31,4
267,12153,12336,16,1
268,11958,13313,13,1
269,10800,13282,9,1
270,10022,12204,5,2
271,9333,14631,4,2
272,9277,16148,18,1
273,11121,16432,23,1
274,10856,14727,41,2
275,12644,14943,43,2
276,12625,16259,66,1
277,9036,17538,3,2
278,10599,17980,11,2
279,12632,17949,33,4
280,14405,18032,152,3
281,14074,16516,124,3
282,14262,15129,66,3
283,14624,14004,25,4
284,16629,14481,41,4
285,18470,14411,59,4
286,20591,13549,42,3
287,20983,15862,93,3
288,20177,17642,276,3
289,19041,15769,90,4
290,18906,16346,173,3
291,18467,17001,308,3
292,17414,15476,97,4
293,15748,15728,56,4
294,15517,17034,77,5
295,16607,17365,155,3
296,15952,18397,103,3
297,22605,14301,93,3
298,23146,15382,153,3
299,22046,17634,171,3
300,23785,17643,194,3
301,25981,18051,173,3
302,27380,18202,136,3
303,25021,16290,104,4
304,23325,16701,105,3
305,26852,16114,225,3
306,17981,18449,93,1
307,14482,12692,20,5
308,14318,13569,30,5
309,10352,17133,31,5
310,9095,16414,29,5
311,10510,15314,19,5
312,13954,5615,61,5
313,10142,1662,8,5
314,17765,3561,8,5
315,6924,5696,7,5
316,4678,3765,40,5
317,6182,2005,25,5
318,5985,2567,44,4
319,7653,1952,48,5
