引才单位,岗位名称,人员需求情况,,,,,,提供待遇情况,,,引才方式,引才来源,区县,联系人电话
,科研管理岗位,航空工程、项目管理,35岁以下,硕士及以上,不限,有航空工业工作经验者优先。熟练掌握本专业领域知识，了解本专业国内外发展趋势和先进技术，具有一定的相关专业基础知识；能独立承担较难的专业技术或技术管理项目，解决有一定难度的技术问题；中英文熟练交流。,2,面议,根据直升机型号需求,白领公寓,均可,不限,,
亚新科（天津）汽车零部件有限公司,高级技术工程师,机械设计、材料成型、工业工程、自动化等,30岁,不限,工程师,至少具有6年相关工作经验。有关汽车零部件相关专业背景，精通铝合金高压低压铸造，浇铸，压铸或机加工相关技术。,10,13.8,无,提供,均可,不限,武清区,李志刚13752378058
,设备经理,机械、模具、铸造等,30岁,不限,经理,至少具有6年相关工作经验。有关汽车零部件相关专业背景，精通铝合金高压低压铸造，浇铸，压铸或机加工相关技术。,1,13.8,无,提供,均可,不限,,
海鸥表业集团有限公司,博士后工作站,精密机械,35岁以下,博士,不限,熟悉精密仪器加工。,1月2日,20,无,无,刚性,不限,保税区,曹禹   58676761
,博士后工作站,计时仪器,35岁以下,博士,不限,熟悉手表装配。,1月2日,20,无,无,刚性,不限,,
天津优瑞纳斯液压机械有限公司,设计工程师,机械制造,30-40岁,硕士及以上,工程师,具有5年以上机械行业工作经验，液压行业优先。参与实施新产品开发、研制工作，制定开发计划。,不限,面议,面议,提供,刚性,不限,西青区,宋迎春      022-83989131-845
,项目负责人,机械制造,30-40岁,硕士及以上,项目经理,具有5年以上机械行业工作经验，液压行业优先。在公司领导下，组织项目的立项、申报、审批、验收等各环节的工作，并负责申报项目的报送跟踪，直至项目完成。,1,面议,面议,提供,刚性,不限,,
伯特利（天津）工业设备有限公司,机械设计工程师,机械设计,40岁以上,硕士,中高级,机械制造业机械设计背景；有专业的机械研发经验、对产品研发的过程控制有丰富的经验；有带领研发队伍完成重要项目的经验；独立完成项目及投标设计创新改善能力强，有项目实施工作经验。,2,面议,无,无,均可,不限,西青区,杨海蓉      022-58964560
合时自动化（天津）有限公司,项目经理,机电一体化,35-50岁,不限,不限,具有10年机械设备研发类项目管理经验。优秀的英语沟通能力；项目管理全过程控制经验；有研发团队协作经验；具有商务谈判经验优先。,3,24,无,视具体情况,刚性,不限,西青区,肖国成1392030780
,高级机械设计专家,机械设计,40岁,不限,不限,具有15年的机械、自动化设备研发设计制造经验。优秀的英语表达能力；有专业的机械研发经验；对产品研发的过程控制有丰富的经验；良好的工作习惯；有带领研发队伍完成重要项目的经验。,3,36,无,视具体情况,刚性,不限,,
,机械装配工程师,机械,40岁左右,不限,不限,具有10年机械设备装配调试经验。精通机械、电气气动设备；丰富的工艺过程经验；有电子产品、机械产品制造背景；良好的英语沟通能力。,1,18,无,无,刚性,国内,,
,应用工程师,机电一体化,35-40岁,不限,不限,具有10年机械设计经验。丰富的机械结构设计经验；熟悉设备选型要求工艺特点；优秀的英语沟通能力；有机械制造经验优先考虑。,3,24,无,无,刚性,国内,,
,电气工程师,自动化,35-40岁,不限,不限,具有10年以上电气设计及编程经验。精通SIMENS 系列及ROCKWELL 系列的编程软件；有视觉控制软件开发经验；熟悉机器人控制软件的编写；能够独立完成电气选型及设计工作。,3,面议,无,无,刚性,国内,,
,EHS工程师,安全工程,28-35岁,不限,不限,具有6年的跨国企业EHS管理经验。有丰富的机械类安全管理经验；具备安全管理工程师资格；精通英语；良好的学习能力和执行力；能够出差。,1,12,无,无,刚性,国内,,
天津市通洁高压泵制造有限公司,副总经理,企业管理、机械自动化等,35-45岁,不限,不限,具有10年以上机械制造企业经营管理经验，5年以上知名企业相关工作经验者优先；男性优先，外省亦可。了解企业管理、战略管理、市场开发管理与生产作业管理、人力资源管理、财务管理等相关专业知识；能够根据公司实际情况，制定正确的，可行的管理目标，在实际经营管理中能够团结带动大多数人；出众的管理才能和良好的业务能力，熟悉先进的管理模式；较强的综合分析能力和驾驭全局的能力；有用人、决策和公关等的综合素质，善于与人深入沟通；精力充沛，团队组织能力强，能承受较大的工作压力。,1,面议,面议,提供,刚性,国外经历者优先,西青区,宁宁        022-83963217
,生产总监,机械制造或企业管理等,35-45岁,不限,不限,具有10年以上机械制造企业生产管理经验；熟悉机械制造流程，对生产计划、质量控制，精益生产有深刻的认识；对6S、ISO9000管理体系有较强的实践经验；工作认真，责任心强，具备有效组织、实施各项工作计划的领导能力。,1,面议,面议,提供,刚性,国外经历者优先,,
,技术总监,机械设计相关专,35-45岁,不限,不限,在同行业领域有5年以上研究开发及项目管理的工作经验，接受过职业或特殊培训；男性优先，外省亦可。精通行业内的最新技术方法，能够把握行业技术发展趋势和业务发展动向，对关键技术有自己独到见解；熟悉企业产品结构、性能、机理、使用方法，有较强的机械设计理论水平和技术工作经验；有很强的判断、决策、计划、执行能力及项目管理能力；能够遵守公司各项规章制度，作风正派，服从指挥。,1,面议,面议,提供,刚性,国外经历者优先,,
,营销总监,市场营销、企业管理类、机械自动化等,35-45岁,不限,不限,具有10年以上工作经验，其中5年以上著名机械制造行业营销管理经验；在企业营销管理领域有深厚的理论功底和丰富的运作经验；有较强的市场感知能力、敏锐地把握市场动态、市场方向的能力；出色的人际沟通能力、团队建设能力、组织开拓能力。,1,面议,面议,提供,刚性,国外经历者优先,,
,高级机械工程师,机械设计相关,35-45岁,不限,不限,接受过职业或特殊培训，有多年从事机械或设备行业设计工作或流水线设计工作经验；男性优先，外省亦可。有较强的机械设计理论水平，能够独立完成机械设备和零部件、夹具设计工作；有较强的协调沟通能力，能够与机械设备和零部件的供应商洽谈，能够完成必要的培训工作；能适应高强度、高压力的工作，能够根据工作需要加班；能够根据自身的专业知识和经验，对工作中出现的具体问题做出准确的判断；能够遵守公司各项规章制度，作风正派，服从指挥。,4,面议,面议,提供,刚性,国外经历者优先,,
,高级培训师,不限,35-45岁,不限,不限,从事机械制造行业培训工作5年以上者优先；男性优先，外省亦可。组织能力、写作能力与沟通能力强，有责任心，能承受压力；熟悉操作办公软件；有很强的计划、组织、领导、协调、控制、督导能力；具有实际培训成功案例者优先考虑。,1,面议,面议,提供,刚性,国外经历者优先,,
,高级采购经理,不限,35-45岁,不限,不限,男性优先，外省亦可。主持采购部的全面工作。领导采购部门按部门的工作职能做好工作。根据项目营销计划和施工计划制订采购计划，并督导实施。制定公司的物资管理相关制度，使之规范化。制定物资采购原则，并督导实施。做好采购的整体预算工作，根据资金运作情况，合理进行预先采购。定期组织员工进行采购业务知识和采购人员职业道德方面的学习，提高公司采购人员的综合能力。控制好物资批量进购，避开由于市场不稳定所带来的风险。进行采购收据的规范指导和审批工作，协助财会进行工程的审核及成本的控制。,1,面议,面议,提供,刚性,国外经历者优先,,
天津赛象科技股份有限公司,高级技术顾问,机械类,不限,不限,副高,跨国企业、轮胎机械行业相关从业经历，熟悉轮胎工艺。掌握橡胶行业前沿技术与知识，能组织领导轮胎机械相关新技术、新产品的研发。,1,75,视项目情况而定,提供,均可,海外,高新区,王红军18622989929
,高级研发工程师,机械类,不限,不限,中级及以上,具有大型企业、制造业相关工作经历、熟悉轮胎机械。能组织领导轮胎机械相关新技术、新产品的研发。,1,面议,视项目情况而定,提供,均可,国内,,
沃德（天津）传动有限公司,设计工程师,机械设计制造及其自动化,28-50岁,博士,不限,械制造类科研研发相关工作背景，精通传动设备设计理论知识，具备丰富的工业传动设备研发经验。,2,面议,面议,面议,均可,国内,北辰区,王伟   86810555
,研发工程师,机械设计制造及其自动化,28-50岁,博士,不限,械制造类科研研发相关工作背景，精通传动设备设计理论知识，具备丰富的工业传动设备研发经验。,2,面议,面议,面议,均可,国内,,
,齿轮技术专家,机械类,不限,博士,不限,械制造类科研研发相关工作背景，精通传动设备设计理论知识，具备丰富的工业传动设备研发经验。,不限,面议,面议,面议,柔性,国内,,
天津市天矿电器设备有限公司,电气技术专家, 自动化,55岁以下,不限,高工,具有3年以上本岗工作经验，对矿用产品熟悉，对行业产品有超前意识。具有独立的产品设计、开发、革新、改良能力和解决生产上的技术问题能力；能熟练使用CAD\CAXA\PRO-E绘图软件及常用办公软件。,2,面议,无,无,柔性,国内,北辰区,
,机械技术专家,机械制造或机电一体化,55岁以下,不限,高工,对矿用产品熟悉，对行业产品有超前意识。能熟练使用CAD\CAXA\Pro-E绘图软件及常用办公软件，解决生产中出现的质量问题。,2,面议,无,无,柔性,国内,,
,市场营销专家,不限,55岁以下,不限,经济师,"具有3年以上本岗工作经验；组织/协调能力强,能合理调配利用人员；熟练使用计算机；具有敏锐的洞察市场能力和丰富的营销策划经验。担任过煤矿系统矿长等优先。",2,面议,无,无,柔性,国内,,
天津中荣印刷科技有限公司,研究生,物流,,硕士,工程师,印刷、包装、工业工程、物流、数理统计等相关专业；有5年以上相关工作经验，有研发，开发，创新能力。具备良好的组织计划能力与分析能力；责任心强，工作积极主动，具备良好的团队合作精神。,1,面议,无,无,刚性,国内,北辰区,
,,工业催化,,,,,2,,无,无,刚性,不限,,
,,化工工程,,,,,2,,无,无,刚性,不限,,
,,软件开发,,,,,3,,无,无,刚性,不限,,
,,电子信息,,,,,1,,无,无,刚性,不限,,
,,嵌入式设计,,,,,1,,无,无,刚性,不限,,
,,流体力学,,,,,2,,无,无,刚性,不限,,
,,核技术应用,,,,,2,,无,无,刚性,不限,,
中国北方发动机研究所,柴油机高效燃烧技术研究,动力机械工程相关,45岁以下,博士,高级 ,在海外知名高校、科研机构或企业研发机构从事相关专业研究5年工作经历。主持过重大技术或产品开发项目不少于2项。,1,35, 视项目情况而定,面议,刚性,海外,北辰区,
,柴油机高压燃油供给技术研究,动力机械工程及相关,45岁以下,硕士,高级 ,在国内外知名高校、科研机构或企业研发机构从事相关专业研究五年以上工作经历。主持过重大技术或产品开发项目不少于2项。,1,面议,面议,面议,刚性,国内,,
天津七所高科技有限公司,机械工程师,机械类,不限,硕士,不限,机械设计制造及其自动化、机械相关类专业；具有机械产品设计开发经验，具备较强的标准及非标产品设计能力，能够熟练使用AUTOCAD、SolidWORKS、CATIA等设计软件；具有很强的实际操作能力、在工程现场独立解决问题的能力、良好的沟通能力和团队协作精神；能够适应经常性出差。,2,面议,无,无,刚性,国内,北辰区,
,电气工程师,电气类,不限,硕士,不限,电气自动化相关类专业；掌握西门子、三菱等主流PLC编程，能够熟练使用AUTOCAD软件；具有很强的实际操作能力、在工程现场独立解决问题的能力、良好的沟通能力和团队协作精神；能够适应经常性出差。,2,面议,无,无,刚性,国内,,
天津工程机械研究院,主任设计师,液压,30岁,硕士,中级,从事工程机械液压系统设计5年，熟悉挖掘机液压系统设计。机械设计、液压专业。可独立完成液压系统设计，具有一定带团队经验。掌握CAD、PRE设计计算机仿真等设计手段。,1,10,按需匹配,无,均可,国内,北辰区,
,主任设计师,液压,30岁,硕士,中级,从事轴向柱塞泵或液压多路换向阀设计5年。机械设计、液压专业。熟悉液压件制造工艺，独立完成工艺设计、改进能力，具有一定带团队经验。掌握CAD、PRE设计计算机仿真等设计手段。,1,10,按需匹配,无,均可,国内,,
,主任设计师,控制,25岁,博士,不限,电气传动、自动化控制专业。能独立完成车载电子系统的设计、测试等研究，具有智能系统硬件在回路仿真研究经验。,1,10,按需匹配,无,均可,国内,,
天津雷沃动力有限公司,CAE设计师,发动机,38-45岁,不限,高级工程师,具有8年以上发动机结构开发及性能、结构仿真分析经历。熟悉发动机CAE分析，会使用AVL仿真分析软件，能够独立开展相关业务并指导低层次人员开展工作；良好的英语听、说、读、写能力。,1,面议,无,无,刚性,国内,北辰区,
,应用工程师,发动机,35-45岁,不限,专家工程师,必须具有相关发动机开发工作5年以上工作经验。熟悉整车开发流程；具备较强的身体素质和丰富的协调处事经验；熟悉发动机开发、应用匹配、整车安装评估、测试、验证等业务。,1,面议,无,无,刚性,国内,,
,质量改进,内燃机,35-45岁,不限,专家工程师,具有发动机技术/工艺/质量10年以上工作经历。,1,面议,无,无,刚性,国内,,
