学历,招聘人数
博士,1
硕士,2
硕士,3
博士,1
硕士,3
硕士,3
博士,2
硕士,1
不限,1
博士,1
硕士,2
本科,1
硕士,1
硕士,3
不限,2
不限,2
博士,1
博士,2
本科,2
本科,1
本科,1
硕士,2
博士,1
博士,2
本科,1
不限,1
不限,1
不限,1
博士,1
硕士,3
博士,5
本科,1
硕士,1
不限,2
不限,1
不限,2
不限,2
本科,1
硕士,1
博士,3
本科,2
本科,2
不限,1
不限,2
不限,1
不限,1
硕士,5
博士,2
硕士,1
硕士,10
不限,1
不限,5
不限,5
不限,1
不限,5
不限,1
不限,1
不限,5
硕士,1
硕士,5
不限,3
不限,5
不限,5
不限,3
不限,3
不限,3
博士,4
不限,2
不限,1
不限,2
不限,2
硕士,1
硕士,1
不限,2
硕士,4
不限,2
不限,5
博士,1
博士,2
不限,2
不限,1
不限,1
博士,1
博士,1
不限,1
博士,1
博士,10
本科,2
不限,2
硕士,1
硕士,1
硕士,2
硕士,1
本科,2
硕士,5
不限,5
博士,1
硕士,5
不限,10
硕士,2
不限,2
不限,2
不限,2
本科,2
不限,20
不限,3
不限,2
不限,2
不限,2
硕士,2
不限,2
不限,2
本科,2
博士,2
不限,2
不限,2
本科,5
博士,2
本科,2
本科,10
本科,100
本科,6
不限,3
不限,2
不限,2
不限,4
本科,2
不限,2
本科,5
不限,3
不限,2
本科,2
不限,1
不限,2
不限,1
不限,1
不限,5
不限,2
不限,10
硕士,2
本科,5
本科,5
博士,1
博士,1
硕士,2
本科,20
本科,1
不限,1
本科,1
不限,1
不限,1
硕士,1
本科,1
博士,5
不限,5
本科,10
硕士,2
硕士,2
本科,2
硕士,2
硕士,1
硕士,6
硕士,2
博士,2
硕士,1
不限,3
不限,5
不限,8
不限,1
本科,5
本科,3
硕士,5
博士,5
本科,1
不限,2
不限,1
不限,1
不限,1
不限,1
硕士,2
不限,2
不限,1
博士,1
硕士,1
博士,1
本科,1
本科,2
不限,2
不限,1
本科,10
不限,4
不限,1
不限,5
本科,2
本科,5
本科,40
博士,1
不限,1
本科,2
不限,2
不限,2
本科,3
不限,2
博士,1
硕士,1
本科,10
本科,2
硕士,10
本科,1
不限,2
本科,2
不限,2
不限,2
不限,2
不限,2
不限,1
本科,10
硕士,10
本科,10
本科,10
硕士,10
本科,10
硕士,10
本科,10
硕士,1
本科,2
本科,6
不限,4
博士,2
硕士,2
硕士,1
本科,5
本科,4
不限,2
不限,2
硕士,2
本科,2
硕士,2
本科,1
不限,2
不限,1
不限,2
不限,3
本科,3
本科,1
硕士,3
本科,2
本科,5
本科,5
本科,5
不限,1
不限,1
博士,1
本科,1
不限,1
硕士,3
不限,5
不限,2
不限,10
博士,5
不限,5
不限,5
不限,5
本科,2
不限,2
硕士,2
不限,1
博士,1
不限,1
博士,1
硕士,5
不限,10
不限,5
不限,5
不限,5
不限,5
不限,5
本科,5
不限,5
不限,5
不限,5
不限,5
本科,2
本科,2
本科,2
不限,2
不限,3
不限,2
不限,5
不限,2
本科,1
不限,1
不限,1
本科,50
不限,30
硕士,3
不限,2
硕士,30
不限,5
本科,5
本科,6
不限,6
不限,2
博士,2
本科,2
本科,30
不限,20
不限,2
不限,10
不限,10
不限,2
博士,1
硕士,1
本科,2
不限,2
本科,5
本科,3
硕士,2
硕士,1
博士,1
硕士,3
不限,1
不限,2
不限,2
不限,2
博士,1
不限,1
不限,1
不限,1
不限,1
本科,1
不限,1
不限,2
不限,2
不限,2
不限,5
不限,1
本科,1
不限,1
硕士,1
硕士,2
硕士,2
不限,3
硕士,40
本科,1
硕士,2
本科,1
本科,1
硕士,2
本科,2
本科,2
不限,3
不限,3
不限,3
不限,6
硕士,1
本科,1
硕士,2
硕士,1
博士,1
本科,3
本科,5
本科,2
硕士,2
博士,1
硕士,2
硕士,3
不限,1
不限,2
本科,3
不限,3
不限,1
博士,1
本科,3
硕士,3
硕士,3
博士,2
本科,10
本科,15
本科,10
硕士,1
不限,1
本科,1
本科,2
博士,1
硕士,2
本科,1
硕士,1
硕士,3
不限,2
不限,2
博士,1
博士,2
本科,2
本科,1
本科,1
硕士,2
博士,1
博士,2
本科,1
不限,1
不限,2
硕士,1
不限,1
不限,1
不限,3
本科,2
硕士,1
本科,1
不限,1
不限,1
不限,1
博士,1
硕士,3
博士,5
本科,1
硕士,1
不限,2
不限,1
不限,2
不限,2
本科,1
硕士,1
博士,3
本科,2
本科,2
不限,1
不限,2
不限,1
不限,1
硕士,5
博士,2
硕士,1
硕士,10
不限,1
不限,5
不限,5
不限,1
不限,5
不限,1
不限,1
不限,5
本科,3
不限,5
不限,5
不限,10
硕士,1
硕士,5
不限,3
不限,5
不限,5
不限,3
不限,3
不限,3
本科,20
博士,4
不限,2
不限,1
不限,2
不限,2
本科,1
不限,1
本科,2
硕士,1
硕士,1
不限,2
本科,4
硕士,3
硕士,5
本科,1
本科,1
本科,10
硕士,3
本科,2
硕士,2
博士,1
博士,2
不限,2
不限,1
不限,1
博士,1
博士,1
不限,1
博士,1
博士,10
本科,1
本科,1
本科,2
不限,2
本科,2
不限,2
本科,1
不限,1
不限,1
不限,1
不限,1
不限,1
不限,1
不限,5
不限,20
本科,2
不限,2
硕士,1
硕士,1
硕士,2
硕士,1
本科,15
不限,20
不限,5
本科,2
本科,2
本科,10
